供应商,供货商来货品名,图片, 单价（含采购运费） ,雷阳品名规格,"编码代码
（大类）","编码代码
（小类）",末位流水编号,雷阳货号,成本价（含打包费用及发货运费等）,子件货号,,最新采购价格日期
阳江市江城区振欣五金经营部,批发家用不粘锅硅胶中华铲耐高温铲勺套装漏勺汤勺套装厨具五件套 尺寸: SG-婴儿奶嘴级黑色五件套,#NAME?, 8.50 ,漏勺汤勺套装厨具五件套黑色,CJ,01,0006,CJ010006,9.52,,,10月22日
阳江市江城区振欣五金经营部,"硅胶锅铲中华铲 耐高温一体硅胶锅铲硅胶汤勺 食品级不粘锅铲套装 [快照]
尺寸: 墨绿色  套件数量: 五件套",#NAME?, 8.50 ,漏勺汤勺套装厨具五件套绿色,CJ,01,0007,CJ010007,9.52,,,10月22日
义乌市拉本电子商务有限公司,不倒翁防粘米饭勺新款家用可立式不伤锅盛饭勺易清洗打饭勺子厨房 规格: 不倒翁饭勺 颜色: 白色,#NAME?, 1.45 ,不倒翁饭勺白色,CJ,01,0008,CJ010008,1.62,,,
义乌市拉本电子商务有限公司,不倒翁防粘米饭勺新款家用可立式不伤锅盛饭勺易清洗打饭勺子厨房 规格: 不倒翁饭勺 颜色: 蓝色,#NAME?, 1.45 ,不倒翁饭勺蓝色,CJ,01,0009,CJ010009,1.62,,,
义乌市拉本电子商务有限公司,不倒翁防粘米饭勺新款家用可立式不伤锅盛饭勺易清洗打饭勺子厨房 规格: 不倒翁饭勺 颜色: 粉色,#NAME?, 1.54 ,不倒翁饭勺粉色,CJ,01,0010,CJ010010,1.72,,,
阳江市鑫铄工贸有限公司,现货供应新款半透明彩色硅胶锅铲不粘锅中华铲烹饪勺铲炒菜铲家用 尺寸: 半透绿色（70g） 套件数量: 锅铲,#NAME?, 2.64 ,锅铲半透绿色,CJ,01,0011,CJ010011,2.96,,,
阳江市鑫铄工贸有限公司,硅胶锅铲不粘锅硅胶铲长柄半透硅胶铲食品级耐高温家用硅胶铲批发 尺寸: 半透锅铲紫色,#NAME?, 2.64 ,锅铲半透紫色,CJ,01,0012,CJ010012,2.96,,,
阳江市鑫铄工贸有限公司,硅胶锅铲不粘锅硅胶铲长柄半透硅胶铲食品级耐高温家用硅胶铲批发 尺寸: 半透锅铲蓝色,#NAME?, 2.64 ,锅铲半透蓝色,CJ,01,0013,CJ010013,2.96,,,
阳江市鑫铄工贸有限公司,硅胶锅铲不粘锅硅胶铲长柄半透硅胶铲食品级耐高温家用硅胶铲批发 尺寸: 半透锅铲玫红色,#NAME?, 2.64 ,锅铲半透红色,CJ,01,0014,CJ010014,2.96,,,
阳江市诺品工贸有限公司,烤箱专用食品级硅胶手套 空气炸锅加厚耐高温家用烘焙手夹 防烫夹 颜色: 绿色 规格: 单只73g（袋装）,#NAME?, 2.60 ,硅胶手套防烫手套73g绿色,CJ,02,0001,CJ020001,2.91,,,
阳江市诺品工贸有限公司,烤箱专用食品级硅胶手套 空气炸锅加厚耐高温家用烘焙手夹 防烫夹 颜色: 蓝色 规格: 单只73g（袋装）,#NAME?, 2.60 ,硅胶手套防烫手套73g蓝色,CJ,02,0002,CJ020002,2.91,,,
揭阳市美宜家五金塑胶实业有限公司,家用取碗夹防烫夹提盘器厨房工具碗夹盘子蒸菜夹砂锅夹防滑隔热夹 规格: 硅胶提盘夹+防烫泰山夹：粉色,#NAME?, 7.50 ,提盘夹+防烫夹粉色,CJ,02,0003,CJ020003,8.4,,,
揭阳市美宜家五金塑胶实业有限公司,家用取碗夹防烫夹提盘器厨房工具碗夹盘子蒸菜夹砂锅夹防滑隔热夹 规格: 硅胶提盘夹+防烫泰山夹：绿色,#NAME?, 7.50 ,提盘夹+防烫夹绿色,CJ,02,0004,CJ020004,8.4,,,
揭阳市美宜家五金塑胶实业有限公司,家用取碗夹防烫夹提盘器厨房工具碗夹盘子蒸菜夹砂锅夹防滑隔热夹 规格: 硅胶提盘夹+防烫泰山夹：米色,#NAME?, 7.50 ,提盘夹+防烫夹米色,CJ,02,0005,CJ020005,8.4,,,
阳江市长华工贸有限公司,硅胶食物夹一体全包防滑耐高温烧烤夹厨房食品夹户外烤肉夹面包夹 尺寸: 大号带支架食物夹【卡其色】,#NAME?, 3.88 ,烧烤夹大号米白色,CJ,02,0006,CJ020006,4.35,,,
阳江市长华工贸有限公司,硅胶食物夹一体全包防滑耐高温烧烤夹厨房食品夹户外烤肉夹面包夹 尺寸: 大号带支架食物夹【深灰色】,#NAME?, 3.88 ,烧烤夹大号深灰色,CJ,02,0007,CJ020007,4.35,,,
